locusTag	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non.redundant_refseq	related_accession	name	symbol	GeneID	feature_interval_length	product_length	attributes	level	annotation
Bcen2424_4732	with_protein	GCA_000203955.1	Primary Assembly	chromosome	2	CP000459.1	1716155	1716616	+	ABK11466.1	NA	NA	putative signal-transduction protein with CBS domains	NA	NA	462	153	NA	NA	
Bcen2424_4733	with_protein	GCA_000203955.1	Primary Assembly	chromosome	2	CP000459.1	1716773	1717102	-	ABK11467.1	NA	NA	conserved hypothetical protein	NA	NA	330	109	NA	NA	
Bcen2424_1550	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	1716774	1717490	+	ABK08302.1	NA	NA	transcriptional regulator, GntR family	NA	NA	717	238	NA	NA	
Bcen2424_1551	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	1717592	1718578	+	ABK08303.1	NA	NA	oxidoreductase domain protein	NA	NA	987	328	NA	NA	
Bcen2424_4734	with_protein	GCA_000203955.1	Primary Assembly	chromosome	2	CP000459.1	1717615	1718013	+	ABK11468.1	NA	NA	GreA/GreB family elongation factor	NA	NA	399	132	NA	NA	
Bcen2424_4735	with_protein	GCA_000203955.1	Primary Assembly	chromosome	2	CP000459.1	1718191	1719279	-	ABK11469.1	NA	NA	porin, Gram-negative type	NA	NA	1089	362	NA	NA	
Bcen2424_1552	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	1718634	1719326	-	ABK08304.1	NA	NA	amino acid ABC transporter membrane protein, PAAT family	NA	NA	693	230	NA	NA	
Bcen2424_1553	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	1719449	1720243	-	ABK08305.1	NA	NA	amino acid ABC transporter substrate-binding protein, PAAT family	NA	NA	795	264	NA	NA	
Bcen2424_4736	with_protein	GCA_000203955.1	Primary Assembly	chromosome	2	CP000459.1	1719866	1720237	+	ABK11470.1	NA	NA	hypothetical protein	NA	NA	372	123	NA	NA	
Bcen2424_1554	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	1720344	1721414	-	ABK08306.1	NA	NA	dihydroorotate oxidase A	NA	NA	1071	356	NA	NA	
Bcen2424_4737	with_protein	GCA_000203955.1	Primary Assembly	chromosome	2	CP000459.1	1720488	1720874	-	ABK11471.1	NA	NA	transcriptional regulator, HxlR family	NA	NA	387	128	NA	NA	
Bcen2424_4738	with_protein	GCA_000203955.1	Primary Assembly	chromosome	2	CP000459.1	1720925	1721188	-	ABK11472.1	NA	NA	conserved hypothetical protein	NA	NA	264	87	NA	NA	
Bcen2424_4739	with_protein	GCA_000203955.1	Primary Assembly	chromosome	2	CP000459.1	1721205	1721681	+	ABK11473.1	NA	NA	protein of unknown function DUF1486	NA	NA	477	158	NA	NA	
Bcen2424_1555	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	1721480	1722310	-	ABK08307.1	NA	NA	Arginyltransferase	NA	NA	831	276	NA	NA	
Bcen2424_4740	with_protein	GCA_000203955.1	Primary Assembly	chromosome	2	CP000459.1	1721743	1722378	-	ABK11474.1	NA	NA	isochorismatase hydrolase	NA	NA	636	211	NA	NA	
Bcen2424_1556	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	1722344	1723108	-	ABK08308.1	NA	NA	Leucyltransferase	NA	NA	765	254	NA	NA	
Bcen2424_4741	with_protein	GCA_000203955.1	Primary Assembly	chromosome	2	CP000459.1	1722532	1723869	-	ABK11475.1	NA	NA	major facilitator superfamily MFS_1	NA	NA	1338	445	NA	NA	
Bcen2424_1557	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	1723120	1723665	-	ABK08309.1	NA	NA	NUDIX hydrolase	NA	NA	546	181	NA	NA	
Bcen2424_R0044	RNA	GCA_000203955.1	NA	chromosome	1	CP000458.1	1723860	1723936	-	NA	NA	NA	NA	NA	NA	77	NA	NA	NA	NA
Bcen2424_4742	with_protein	GCA_000203955.1	Primary Assembly	chromosome	2	CP000459.1	1724077	1724724	-	ABK11476.1	NA	NA	Glutathione S-transferase, N-terminal domain protein	NA	NA	648	215	NA	NA	
Bcen2424_1558	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	1724134	1724631	+	ABK08310.1	NA	NA	protein of unknown function DUF336	NA	NA	498	165	NA	NA	
Bcen2424_1559	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	1724635	1724973	+	ABK08311.1	NA	NA	small multidrug resistance protein	NA	NA	339	112	NA	NA	
Bcen2424_4743	with_protein	GCA_000203955.1	Primary Assembly	chromosome	2	CP000459.1	1724975	1725430	-	ABK11477.1	NA	NA	transcriptional regulator, MarR family	NA	NA	456	151	NA	NA	
Bcen2424_1560	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	1724996	1726159	+	ABK08312.1	NA	NA	Enoyl-CoA hydratase/isomerase	NA	NA	1164	387	NA	NA	
Bcen2424_4744	with_protein	GCA_000203955.1	Primary Assembly	chromosome	2	CP000459.1	1725563	1727074	-	ABK11478.1	NA	NA	RND efflux system, outer membrane lipoprotein, NodT family	NA	NA	1512	503	NA	NA	
Bcen2424_1561	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	1726294	1726722	-	ABK08313.1	NA	NA	conserved hypothetical protein	NA	NA	429	142	NA	NA	
Bcen2424_1562	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	1727063	1728220	+	ABK08314.1	NA	NA	Alkanesulfonate monooxygenase	NA	NA	1158	385	NA	NA	
Bcen2424_4745	with_protein	GCA_000203955.1	Primary Assembly	chromosome	2	CP000459.1	1727071	1730244	-	ABK11479.1	NA	NA	transporter, hydrophobe/amphiphile efflux-1 (HAE1) family	NA	NA	3174	1057	NA	NA	
Bcen2424_1563	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	1728237	1729049	+	ABK08315.1	NA	NA	binding-protein-dependent transport systems inner membrane component	NA	NA	813	270	NA	3	00920 Sulfur metabolism [PATH:ko00920]|02010 ABC transporters [PATH:ko02010]
Bcen2424_1564	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	1729046	1730005	+	ABK08316.1	NA	NA	ABC transporter related protein	NA	NA	960	319	NA	3	00920 Sulfur metabolism [PATH:ko00920]|02010 ABC transporters [PATH:ko02010]
Bcen2424_1565	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	1730063	1730278	+	ABK08317.1	NA	NA	Molybdenum-pterin binding protein	NA	NA	216	71	NA	NA	
Bcen2424_4746	with_protein	GCA_000203955.1	Primary Assembly	chromosome	2	CP000459.1	1730258	1731460	-	ABK11480.1	NA	NA	efflux transporter, RND family, MFP subunit	NA	NA	1203	400	NA	NA	
Bcen2424_1566	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	1730421	1730618	+	ABK08318.1	NA	NA	conserved hypothetical protein	NA	NA	198	65	NA	NA	
Bcen2424_1567	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	1730674	1730919	+	ABK08319.1	NA	NA	conserved hypothetical protein	NA	NA	246	81	NA	NA	
Bcen2424_1568	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	1730938	1732035	+	ABK08320.1	NA	NA	tRNA-U16,U17-dihydrouridine synthase	NA	NA	1098	365	NA	NA	
Bcen2424_4747	with_protein	GCA_000203955.1	Primary Assembly	chromosome	2	CP000459.1	1731540	1732019	+	ABK11481.1	NA	NA	transcriptional regulator, MerR family	NA	NA	480	159	NA	NA	
Bcen2424_4748	with_protein	GCA_000203955.1	Primary Assembly	chromosome	2	CP000459.1	1732044	1732805	-	ABK11482.1	NA	NA	short-chain dehydrogenase/reductase SDR	NA	NA	762	253	NA	3	00061 Fatty acid biosynthesis [PATH:ko00061]|00780 Biotin metabolism [PATH:ko00780]|00333 Prodigiosin biosynthesis [PATH:ko00333]
Bcen2424_R0045	RNA	GCA_000203955.1	NA	chromosome	1	CP000458.1	1732090	1732165	+	NA	NA	NA	NA	NA	NA	76	NA	NA	NA	NA
Bcen2424_1569	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	1732254	1732511	-	ABK08321.1	NA	NA	phage-related integrase	NA	NA	258	85	NA	NA	
Bcen2424_1570	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	1732551	1733174	-	ABK08322.1	NA	NA	conserved hypothetical protein	NA	NA	624	207	NA	NA	
Bcen2424_4749	with_protein	GCA_000203955.1	Primary Assembly	chromosome	2	CP000459.1	1732914	1733825	+	ABK11483.1	NA	NA	transcriptional regulator, LysR family	NA	NA	912	303	NA	NA	
Bcen2424_1571	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	1733416	1734312	+	ABK08323.1	NA	NA	Curculin domain protein (mannose-binding) lectin	NA	NA	897	298	NA	NA	
Bcen2424_4750	with_protein	GCA_000203955.1	Primary Assembly	chromosome	2	CP000459.1	1733850	1734509	-	ABK11484.1	NA	NA	transcriptional regulator, TetR family	NA	NA	660	219	NA	NA	
Bcen2424_4751	with_protein	GCA_000203955.1	Primary Assembly	chromosome	2	CP000459.1	1734656	1735948	+	ABK11485.1	NA	NA	FAD-dependent pyridine nucleotide-disulphide oxidoreductase	NA	NA	1293	430	NA	NA	
Bcen2424_1572	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	1734881	1735693	+	ABK08324.1	NA	NA	Curculin domain protein (mannose-binding) lectin	NA	NA	813	270	NA	NA	
Bcen2424_4752	with_protein	GCA_000203955.1	Primary Assembly	chromosome	2	CP000459.1	1735993	1736382	+	ABK11486.1	NA	NA	conserved hypothetical protein	NA	NA	390	129	NA	NA	
Bcen2424_1573	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	1736077	1736400	-	ABK08325.1	NA	NA	C-5 cytosine-specific DNA methylase	NA	NA	324	107	NA	NA	
Bcen2424_4753	with_protein	GCA_000203955.1	Primary Assembly	chromosome	2	CP000459.1	1736386	1737714	-	ABK11487.1	NA	NA	sodium:dicarboxylate symporter	NA	NA	1329	442	NA	NA	
Bcen2424_1574	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	1736572	1737630	-	ABK08326.1	NA	NA	conserved hypothetical protein	NA	NA	1059	352	NA	NA	
Bcen2424_4754	with_protein	GCA_000203955.1	Primary Assembly	chromosome	2	CP000459.1	1737869	1739620	-	ABK11488.1	NA	NA	gamma-glutamyltransferase 1, Threonine peptidase, MEROPS family T03	NA	NA	1752	583	NA	3	00430 Taurine and hypotaurine metabolism [PATH:ko00430]|00460 Cyanoamino acid metabolism [PATH:ko00460]|00480 Glutathione metabolism [PATH:ko00480]
Bcen2424_1575	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	1737976	1739097	+	ABK08327.1	NA	NA	conserved hypothetical protein	NA	NA	1122	373	NA	NA	
Bcen2424_1576	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	1739723	1740238	+	ABK08328.1	NA	NA	GCN5-related N-acetyltransferase	NA	NA	516	171	NA	NA	
Bcen2424_4755	with_protein	GCA_000203955.1	Primary Assembly	chromosome	2	CP000459.1	1739993	1740871	+	ABK11489.1	NA	NA	transcriptional regulator, RpiR family	NA	NA	879	292	NA	NA	
Bcen2424_1577	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	1740331	1740795	-	ABK08329.1	NA	NA	conserved hypothetical protein	NA	NA	465	154	NA	NA	
Bcen2424_4756	with_protein	GCA_000203955.1	Primary Assembly	chromosome	2	CP000459.1	1740899	1742245	-	ABK11490.1	NA	NA	ABC transporter related	NA	NA	1347	448	NA	NA	
Bcen2424_1578	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	1741098	1741493	+	ABK08330.1	NA	NA	conserved hypothetical protein	NA	NA	396	131	NA	NA	
Bcen2424_4757	with_protein	GCA_000203955.1	Primary Assembly	chromosome	2	CP000459.1	1742257	1744011	-	ABK11491.1	NA	NA	binding-protein-dependent transport systems inner membrane component	NA	NA	1755	584	NA	NA	
Bcen2424_1579	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	1742262	1743005	-	ABK08331.1	NA	NA	protein of unknown function DUF1260	NA	NA	744	247	NA	NA	
Bcen2424_1580	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	1743189	1743497	+	ABK08332.1	NA	NA	conserved hypothetical protein	NA	NA	309	102	NA	NA	
Bcen2424_1581	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	1743538	1743786	+	ABK08333.1	NA	NA	conserved hypothetical protein	NA	NA	249	82	NA	NA	
Bcen2424_1582	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	1743890	1744432	+	ABK08334.1	NA	NA	conserved hypothetical protein	NA	NA	543	180	NA	NA	
Bcen2424_4758	with_protein	GCA_000203955.1	Primary Assembly	chromosome	2	CP000459.1	1744099	1744308	-	ABK11492.1	NA	NA	phosphate transporter	NA	NA	210	69	NA	NA	
Bcen2424_4759	with_protein	GCA_000203955.1	Primary Assembly	chromosome	2	CP000459.1	1744563	1745507	+	ABK11493.1	NA	NA	metallophosphoesterase	NA	NA	945	314	NA	NA	
Bcen2424_1583	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	1744593	1745066	+	ABK08335.1	NA	NA	Glyoxalase/bleomycin resistance protein/dioxygenase	NA	NA	474	157	NA	NA	
Bcen2424_4760	with_protein	GCA_000203955.1	Primary Assembly	chromosome	2	CP000459.1	1745527	1745865	+	ABK11494.1	NA	NA	blue (type 1) copper domain protein	NA	NA	339	112	NA	NA	
Bcen2424_1584	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	1745560	1745787	+	ABK08336.1	NA	NA	conserved hypothetical protein	NA	NA	228	75	NA	NA	
Bcen2424_1585	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	1745932	1746555	-	ABK08337.1	NA	NA	phosphatidylserine/phosphatidylglycerophosphate/cardiolipin synthases like enzyme	NA	NA	624	207	NA	NA	
Bcen2424_4761	with_protein	GCA_000203955.1	Primary Assembly	chromosome	2	CP000459.1	1746019	1747188	-	ABK11495.1	NA	NA	conserved hypothetical protein	NA	NA	1170	389	NA	NA	
Bcen2424_1586	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	1746900	1747388	-	ABK08338.1	NA	NA	transcriptional regulator, HxlR family	NA	NA	489	162	NA	NA	
Bcen2424_4762	with_protein	GCA_000203955.1	Primary Assembly	chromosome	2	CP000459.1	1747274	1747984	-	ABK11496.1	NA	NA	HAD-superfamily hydrolase, subfamily IA, variant 3	NA	NA	711	236	NA	NA	
Bcen2424_1587	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	1747576	1748013	+	ABK08339.1	NA	NA	uncharacterized domain 1	NA	NA	438	145	NA	NA	
Bcen2424_1588	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	1748162	1749214	+	ABK08340.1	NA	NA	aldo/keto reductase	NA	NA	1053	350	NA	NA	
Bcen2424_4763	with_protein	GCA_000203955.1	Primary Assembly	chromosome	2	CP000459.1	1748236	1748544	+	ABK11497.1	NA	NA	transcriptional regulator, ArsR family	NA	NA	309	102	NA	NA	
Bcen2424_4764	with_protein	GCA_000203955.1	Primary Assembly	chromosome	2	CP000459.1	1748626	1749687	+	ABK11498.1	NA	NA	NADH:flavin oxidoreductase/NADH oxidase	NA	NA	1062	353	NA	NA	
Bcen2424_1589	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	1749312	1750598	-	ABK08341.1	NA	NA	major facilitator superfamily MFS_1	NA	NA	1287	428	NA	NA	
Bcen2424_4765	with_protein	GCA_000203955.1	Primary Assembly	chromosome	2	CP000459.1	1749754	1751034	-	ABK11499.1	NA	NA	major facilitator superfamily MFS_1	NA	NA	1281	426	NA	NA	
Bcen2424_1590	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	1750635	1752056	-	ABK08342.1	NA	NA	peptidase M20	NA	NA	1422	473	NA	NA	
Bcen2424_4766	with_protein	GCA_000203955.1	Primary Assembly	chromosome	2	CP000459.1	1751048	1752220	-	ABK11500.1	NA	NA	porin, Gram-negative type	NA	NA	1173	390	NA	NA	
Bcen2424_1591	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	1752199	1753173	+	ABK08343.1	NA	NA	transcriptional regulator, LysR family	NA	NA	975	324	NA	NA	
Bcen2424_4767	with_protein	GCA_000203955.1	Primary Assembly	chromosome	2	CP000459.1	1752280	1753467	-	ABK11501.1	NA	NA	amidohydrolase	NA	NA	1188	395	NA	NA	
Bcen2424_1592	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	1753238	1754365	+	ABK08344.1	NA	NA	Rhodanese domain protein	NA	NA	1128	375	NA	NA	
Bcen2424_4768	with_protein	GCA_000203955.1	Primary Assembly	chromosome	2	CP000459.1	1753586	1754500	+	ABK11502.1	NA	NA	transcriptional regulator, LysR family	NA	NA	915	304	NA	NA	
Bcen2424_1593	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	1754362	1755420	+	ABK08345.1	NA	NA	permease	NA	NA	1059	352	NA	NA	
Bcen2424_4769	with_protein	GCA_000203955.1	Primary Assembly	chromosome	2	CP000459.1	1754529	1755056	-	ABK11503.1	NA	NA	GCN5-related N-acetyltransferase	NA	NA	528	175	NA	NA	
Bcen2424_4770	with_protein	GCA_000203955.1	Primary Assembly	chromosome	2	CP000459.1	1755176	1756132	+	ABK11504.1	NA	NA	dienelactone hydrolase-like protein	NA	NA	957	318	NA	NA	
Bcen2424_1594	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	1755527	1755949	+	ABK08346.1	NA	NA	conserved hypothetical protein	NA	NA	423	140	NA	NA	
Bcen2424_1595	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	1755994	1756827	-	ABK08347.1	NA	NA	ABC-2 type transporter, NodJ family	NA	NA	834	277	NA	NA	
Bcen2424_4771	with_protein	GCA_000203955.1	Primary Assembly	chromosome	2	CP000459.1	1756133	1757026	-	ABK11505.1	NA	NA	phosphatidylinositol-specific phospholipase C, X region	NA	NA	894	297	NA	NA	
Bcen2424_1596	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	1756834	1757748	-	ABK08348.1	NA	NA	nodulation ABC transporter NodI	NA	NA	915	304	NA	NA	
Bcen2424_4772	with_protein	GCA_000203955.1	Primary Assembly	chromosome	2	CP000459.1	1757060	1758082	+	ABK11506.1	NA	NA	transcriptional regulator	NA	NA	1023	340	NA	NA	
Bcen2424_1597	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	1758080	1758577	+	ABK08349.1	NA	NA	UspA domain protein	NA	NA	498	165	NA	NA	
Bcen2424_4773	with_protein	GCA_000203955.1	Primary Assembly	chromosome	2	CP000459.1	1758115	1758975	-	ABK11507.1	NA	NA	carbohydrate ABC transporter membrane protein 2, CUT1 family	NA	NA	861	286	NA	NA	
Bcen2424_1598	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	1758673	1759392	-	ABK08350.1	NA	NA	conserved hypothetical protein	NA	NA	720	239	NA	NA	
Bcen2424_4774	with_protein	GCA_000203955.1	Primary Assembly	chromosome	2	CP000459.1	1758972	1759841	-	ABK11508.1	NA	NA	carbohydrate ABC transporter membrane protein 1, CUT1 family	NA	NA	870	289	NA	NA	
Bcen2424_1599	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	1759422	1759757	-	ABK08351.1	NA	NA	conserved hypothetical protein	NA	NA	336	111	NA	NA	
Bcen2424_1600	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	1759783	1760430	-	ABK08352.1	NA	NA	SOS-response transcriptional repressor, LexA	NA	NA	648	215	NA	NA	
Bcen2424_4775	with_protein	GCA_000203955.1	Primary Assembly	chromosome	2	CP000459.1	1759876	1761195	-	ABK11509.1	NA	NA	carbohydrate ABC transporter substrate-binding protein, CUT1 family	NA	NA	1320	439	NA	NA	
Bcen2424_1601	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	1760695	1761732	+	ABK08353.1	NA	NA	sulfate ABC transporter, periplasmic sulfate-binding protein	NA	NA	1038	345	NA	3	00920 Sulfur metabolism [PATH:ko00920]|02010 ABC transporters [PATH:ko02010]
Bcen2424_4776	with_protein	GCA_000203955.1	Primary Assembly	chromosome	2	CP000459.1	1761415	1762623	-	ABK11510.1	NA	NA	porin, Gram-negative type	NA	NA	1209	402	NA	NA	
Bcen2424_1602	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	1761856	1762752	+	ABK08354.1	NA	NA	sulfate ABC transporter, inner membrane subunit CysT	NA	NA	897	298	NA	3	00920 Sulfur metabolism [PATH:ko00920]|02010 ABC transporters [PATH:ko02010]
Bcen2424_1603	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	1762752	1763696	+	ABK08355.1	NA	NA	sulfate ABC transporter, inner membrane subunit CysW	NA	NA	945	314	NA	3	00920 Sulfur metabolism [PATH:ko00920]|02010 ABC transporters [PATH:ko02010]
Bcen2424_4777	with_protein	GCA_000203955.1	Primary Assembly	chromosome	2	CP000459.1	1762791	1763789	-	ABK11511.1	NA	NA	transcriptional regulator, AraC family	NA	NA	999	332	NA	NA	
Bcen2424_1604	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	1763710	1764768	+	ABK08356.1	NA	NA	sulfate ABC transporter, ATPase subunit	NA	NA	1059	352	NA	3	00920 Sulfur metabolism [PATH:ko00920]|02010 ABC transporters [PATH:ko02010]
Bcen2424_4778	with_protein	GCA_000203955.1	Primary Assembly	chromosome	2	CP000459.1	1763799	1764410	-	ABK11512.1	NA	NA	conserved hypothetical protein	NA	NA	612	203	NA	NA	
Bcen2424_4779	with_protein	GCA_000203955.1	Primary Assembly	chromosome	2	CP000459.1	1764407	1765891	-	ABK11513.1	NA	NA	amino acid/polyamine/organocation transporter, APC superfamily	NA	NA	1485	494	NA	NA	
Bcen2424_1605	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	1764844	1765770	+	ABK08357.1	NA	NA	transcriptional regulator, LysR family	NA	NA	927	308	NA	NA	
Bcen2424_4780	with_protein	GCA_000203955.1	Primary Assembly	chromosome	2	CP000459.1	1766131	1767471	-	ABK11514.1	NA	NA	aminotransferase	NA	NA	1341	446	NA	NA	
Bcen2424_1606	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	1766511	1767461	+	ABK08358.1	NA	NA	monosaccharide ABC transporter substrate-binding protein, CUT2 family	NA	NA	951	316	NA	3	02010 ABC transporters [PATH:ko02010]|02030 Bacterial chemotaxis [PATH:ko02030]
Bcen2424_4781	with_protein	GCA_000203955.1	Primary Assembly	chromosome	2	CP000459.1	1767524	1769026	-	ABK11515.1	NA	NA	Betaine-aldehyde dehydrogenase	NA	NA	1503	500	NA	3	00360 Phenylalanine metabolism [PATH:ko00360]|00643 Styrene degradation [PATH:ko00643]
Bcen2424_1607	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	1767607	1769220	+	ABK08359.1	NA	NA	monosaccharide ABC transporter ATP-binding protein, CUT2 family	NA	NA	1614	537	NA	NA	
Bcen2424_1608	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	1769217	1770236	+	ABK08360.1	NA	NA	monosaccharide ABC transporter membrane protein, CUT2 family	NA	NA	1020	339	NA	NA	
Bcen2424_4782	with_protein	GCA_000203955.1	Primary Assembly	chromosome	2	CP000459.1	1769247	1770002	-	ABK11516.1	NA	NA	transcriptional regulator, LuxR family	NA	NA	756	251	NA	NA	
Bcen2424_4783	with_protein	GCA_000203955.1	Primary Assembly	chromosome	2	CP000459.1	1770139	1771017	-	ABK11517.1	NA	NA	protein of unknown function, zinc metallopeptidase putative	NA	NA	879	292	NA	NA	
Bcen2424_1609	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	1770272	1771303	+	ABK08361.1	NA	NA	transcriptional regulator, LacI family	NA	NA	1032	343	NA	NA	
Bcen2424_1610	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	1771300	1772235	+	ABK08362.1	NA	NA	ribokinase	NA	NA	936	311	NA	NA	
Bcen2424_4784	with_protein	GCA_000203955.1	Primary Assembly	chromosome	2	CP000459.1	1771481	1772272	+	ABK11518.1	NA	NA	short-chain dehydrogenase/reductase SDR	NA	NA	792	263	NA	NA	
Bcen2424_4785	with_protein	GCA_000203955.1	Primary Assembly	chromosome	2	CP000459.1	1772447	1773475	+	ABK11519.1	NA	NA	transcriptional regulator, LysR family	NA	NA	1029	342	NA	NA	
Bcen2424_1611	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	1772534	1774300	+	ABK08363.1	NA	NA	methyl-accepting chemotaxis sensory transducer	NA	NA	1767	588	NA	3	02020 Two-component system [PATH:ko02020]|02030 Bacterial chemotaxis [PATH:ko02030]
Bcen2424_4786	with_protein	GCA_000203955.1	Primary Assembly	chromosome	2	CP000459.1	1773575	1774276	+	ABK11520.1	NA	NA	conserved hypothetical protein	NA	NA	702	233	NA	NA	
Bcen2424_1612	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	1774329	1774754	+	ABK08364.1	NA	NA	conserved hypothetical protein	NA	NA	426	141	NA	NA	
Bcen2424_4787	with_protein	GCA_000203955.1	Primary Assembly	chromosome	2	CP000459.1	1774340	1775647	+	ABK11521.1	NA	NA	major facilitator superfamily MFS_1	NA	NA	1308	435	NA	NA	
Bcen2424_1613	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	1774844	1776766	+	ABK08365.1	NA	NA	putative serine protein kinase, PrkA	NA	NA	1923	640	NA	NA	
Bcen2424_4788	with_protein	GCA_000203955.1	Primary Assembly	chromosome	2	CP000459.1	1775697	1776398	+	ABK11522.1	NA	NA	conserved hypothetical protein	NA	NA	702	233	NA	NA	
Bcen2424_4789	with_protein	GCA_000203955.1	Primary Assembly	chromosome	2	CP000459.1	1776750	1777727	-	ABK11523.1	NA	NA	NAD-dependent epimerase/dehydratase	NA	NA	978	325	NA	NA	
Bcen2424_1614	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	1776892	1778160	+	ABK08366.1	NA	NA	protein of unknown function DUF444	NA	NA	1269	422	NA	NA	
Bcen2424_4790	with_protein	GCA_000203955.1	Primary Assembly	chromosome	2	CP000459.1	1777743	1778729	+	ABK11524.1	NA	NA	transcriptional regulator, LysR family	NA	NA	987	328	NA	NA	
Bcen2424_1615	with_protein	GCA_000203955.1	Primary Assembly	chromosome	1	CP000458.1	1778157	1779836	+	ABK08367.1	NA	NA	SpoVR family protein	NA	NA	1680	559	NA	NA	
Bcen2424_4791	with_protein	GCA_000203955.1	Primary Assembly	chromosome	2	CP000459.1	1778761	1779081	-	ABK11525.1	NA	NA	conserved hypothetical protein	NA	NA	321	106	NA	NA	
Bcen2424_4792	with_protein	GCA_000203955.1	Primary Assembly	chromosome	2	CP000459.1	1779126	1779998	-	ABK11526.1	NA	NA	transcriptional regulator, LysR family	NA	NA	873	290	NA	NA	
